,0
0,-4.997393333299978e-10
1,-5.139098999999999e-10
2,-9.174966999999987e-10
3,2.0101005500000003e-08
4,-1.0041118666600002e-09
5,-6.293013999999987e-10
6,5.3725833340001266e-11
7,1.9385333400018325e-12
8,3.031326667000118e-11
9,3.592437666699997e-10
10,9.419013334000107e-11
11,6.308802533334e-08
12,-4.82060166659999e-10
13,-5.051357333300008e-10
14,6.33172812e-08
15,4.054353333999955e-11
16,-2.4921176665999817e-10
17,-3.9127173333000093e-10
18,5.1240999999998996e-11
19,-1.8552729999999901e-10
20,-1.9219063332999924e-10
21,-4.989337999999988e-10
22,7.425878526667e-08
23,7.462251126667e-08
24,8.497587326667e-08
25,8.488770659997e-08
26,8.491303093337e-08
27,8.504894893337e-08
28,-8.985543332999841e-11
29,1.0301261900000003e-08
30,-1.387858333299987e-10
31,4.23199651e-08
32,-4.2989883333000073e-10
33,8.509148926667e-08
34,9.596584393337e-08
35,1.0680282193337e-07
36,1.0657635693337002e-07
37,1.0674104759997001e-07
38,1.0655525393337002e-07
39,9.630988859996999e-08
40,9.597176426667e-08
41,6.37454197e-08
42,-3.5855606665999825e-10
43,1.054103986667e-08
44,2.7452960000000306e-10
45,9.663215459997e-08
46,1.1792248826666999e-07
47,1.2903668426667e-07
48,1.2941892526667e-07
49,1.2939540426667e-07
50,1.2951650259997e-07
51,1.1837419859996998e-07
52,9.673090393337e-08
53,8.570700226667e-08
54,7.482497726667e-08
55,2.111042463334e-08
56,3.1520514433339997e-08
57,8.616579959997e-08
58,1.0777586659997e-07
59,1.2939078159997e-07
60,1.7302323726667e-07
61,1.9521985659996998e-07
62,2.3786077659996998e-07
63,2.5999811659996995e-07
64,2.8203062426667004e-07
65,3.0370648993337004e-07
66,3.1497438693337006e-07
67,3.1521047326666995e-07
68,3.1519397259996997e-07
69,3.0384386259997e-07
70,2.8273889526667e-07
71,2.5022177359997e-07
72,2.1766709459997e-07
73,1.6302552959996999e-07
74,1.1978910659996998e-07
75,8.706816859996999e-08
76,1.2992953926667e-07
77,1.1969964393337e-07
78,1.8593813359996997e-07
79,2.8453775226667004e-07
80,3.7215781826667e-07
81,4.3769355393337003e-07
82,5.0099321226667e-07
83,5.6601588793337e-07
84,6.088984979333699e-07
85,6.5322375359997e-07
86,7.0681107559997e-07
87,7.4929851993337e-07
88,7.932031092666699e-07
89,8.2636408159997e-07
90,8.5867151959997e-07
91,8.7901843059997e-07
92,9.0185806259997e-07
93,9.2385134026667e-07
94,9.4605590193337e-07
95,9.5662213226667e-07
96,9.7825647359967e-07
97,9.8813298026667e-07
98,9.897398469336702e-07
99,9.8896836693367e-07
100,9.778536835996701e-07
101,9.778939235996702e-07
102,9.6655405793337e-07
103,9.6670411659997e-07
104,9.4531694859997e-07
105,9.3388254126667e-07
106,9.2227192559997e-07
107,9.0129657493337e-07
108,8.6864256259997e-07
109,8.3457961426667e-07
110,8.031636895999699e-07
111,7.6107602926667e-07
112,7.2991261226667e-07
113,6.8507882259997e-07
114,6.310256029333699e-07
115,5.8809404093337e-07
116,5.3347325793337e-07
117,4.5844644159997e-07
118,4.2518746259996997e-07
119,3.4884604159996994e-07
120,2.8358723226667e-07
121,2.0776811359996998e-07
122,1.2035146159997e-07
123,1.0971405e-09
124,9.809404693337e-08
125,1.4167781559997e-07
126,1.7468984526667e-07
127,2.3961145726666996e-07
128,2.7175268826667e-07
129,2.9380954226667005e-07
130,3.1528719326667e-07
131,3.0480816793337007e-07
132,3.2622650293337e-07
133,3.1513834226667003e-07
134,2.9377273326667004e-07
135,2.7203864959996997e-07
136,2.5005237859996994e-07
137,2.1729063426667e-07
138,1.8469103959996999e-07
139,1.5239763226667e-07
140,1.1958125726667e-07
141,7.607018959997001e-08
142,9.714154793337002e-08
143,-6.964800000000025e-11
144,1.1303294999999997e-08
145,7.595596926667e-08
146,8.644240559997e-08
147,1.0819362959997001e-07
148,1.1920108059996999e-07
149,1.3023082126667e-07
150,1.4052832259996998e-07
151,1.3003166393337001e-07
152,1.1947250759997e-07
153,1.0811955026667e-07
154,9.682311526666999e-08
155,8.595888893337001e-08
156,1.0880162100000003e-08
157,5.35418000000012e-11
158,8.587039326667e-08
159,8.607550393337e-08
160,8.596976359996999e-08
161,1.0722379726666999e-07
162,1.0749377026666999e-07
163,1.2892494459997e-07
164,9.692486459996999e-08
165,7.547465493336999e-08
166,7.562601026667e-08
167,8.544390759997e-08
168,1.7280510000000004e-10
169,3.0218276666999835e-10
170,1.0718768493337e-07
171,8.564223026667e-08
172,7.519978359997001e-08
173,8.554074793337e-08
174,8.588827459996999e-08
175,8.598180659997e-08
176,8.573475426667001e-08
177,8.561220393337e-08
178,7.496641093337e-08
179,1.0683967426667001e-07
180,1.358614333399985e-10
181,1.0411023700000002e-08
182,2.947375999999994e-10
183,-5.917533333000072e-11
184,8.454677059996999e-08
185,7.397403893337e-08
186,7.381251326667e-08
187,7.384990126667e-08
188,7.399618893337e-08
189,1.4850556666999942e-10
190,-2.1718139999999948e-10
191,-1.670086000000002e-10
192,-2.717337666599976e-10
193,4.17743962e-08
194,-4.497674666600001e-10
195,-5.655115666599988e-10
196,-4.815374666599994e-10
197,-3.757189666599983e-10
198,-2.160533666599996e-10
199,-4.794615999999988e-10
200,-6.074364000000002e-10
